Description,Price,Rating,ReviewCount,Url
"HP 14s, AMD Ryzen 5-5500U 14 inches(35cm) FHD, IPS, Micro-Edge Display Laptop (8GB RAM/512GB SSD /Radeon Graphics/Windows 11/Alexa/Backlit Keyboard/MS Office/1.46kg, 14s-fq1092au)","₹48,333",4.3 out of 5 stars,712,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTk5MzQwNTQxNjg4ODcxOjE2NzA4MjA5MjY6c3BfYXRmX25leHQ6MjAwNTA4MTA3NzE1OTg6OjA6Og&url=%2FHP-Micro-Edge-Graphics-Keyboard-14s-fq1092au%2Fdp%2FB09R1L73TM%2Fref%3Dsr_1_49_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820926%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"AGB Octev AB-1210 15.6"" Laptop (7th Generation Intel Core i7-7500U 64GB RAM /512 GB SSD / 1TB HDD / Win 10/Aluminium Body","₹80,000",2.6 out of 5 stars,6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTk5MzQwNTQxNjg4ODcxOjE2NzA4MjA5MjY6c3BfYXRmX25leHQ6MjAwNTAyMTM2NDE4OTg6OjA6Og&url=%2FAGB-AB-1210-Laptop-Generation-i7-7500U%2Fdp%2FB0769ZQPJJ%2Fref%3Dsr_1_50_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820926%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"HP 14s-Intel Celeron N4500- 8GB RAM/256GB SSD 14 inch(35.6 cm )HD, Micro-Edge Display/ UHD Graphics/ Alexa / Dual Speakers/ Fast Charge/ Win 11, 14s- dq3032tu","₹26,650",4.1 out of 5 stars,960,https://www.amazon.in/HP-14s-Intel-Micro-Edge-Graphics-Speakers/dp/B09R1LMQ9R/ref=sr_1_51?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820926&sprefix=laptop%2Caps%2C214&sr=8-51
Acer Predator Helios 300 Gaming Laptop Intel Core i9 11th Gen Processor - (16 GB/1TB SSD/ NVIDIA RTX 3060/165Hz/Windows 11 Home) PH315-54 with 39.6 cm (15.6 inches) QHD IPS Display/ 2.3 kgs,"₹1,15,990",3.9 out of 5 stars,74,https://www.amazon.in/Acer-Predator-i9-11900H-39-62cms-PH315-54/dp/B09STHPNT9/ref=sr_1_52?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820926&sprefix=laptop%2Caps%2C214&sr=8-52
"Acer Nitro 5 Gaming Laptop Intel Core i5-11400H 11th Gen Processor (16GB/512GB SSD/ NVIDIA GeForce GTX 1650 4GB GDDR6 Graphics/Windows 11 Home/RGB),AN515-57 with 15.6""(39.6cm) FHD 144Hz IPS Display","₹59,990",4.1 out of 5 stars,370,https://www.amazon.in/Acer-i5-11400H-Processor-Graphics-AN515-57/dp/B0B3XPG9WG/ref=sr_1_53?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820926&sprefix=laptop%2Caps%2C214&sr=8-53
"ASUS Vivobook 15 (2022), 15.6"" (39.62 cms) FHD, Intel Core i3-1220P 12th Gen, Thin and Light Laptop (8GB/512GB SSD/Iris Xe Graphics/Windows 11/Office 2021/Blue/1.7 kg), X1502ZA-EJ311WS","₹47,990",4.4 out of 5 stars,17,https://www.amazon.in/ASUS-Vivobook-i3-1220P-Graphics-X1502ZA-EJ311WS/dp/B09YHCLB8V/ref=sr_1_54?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820926&sprefix=laptop%2Caps%2C214&sr=8-54
"ASUS ROG Strix G17 (2022), 17.3-inch (43.94 cms) FHD 144Hz, AMD Ryzen 7-6800H, RTX 3050 4GB Graphics, Gaming Laptop (16GB/512GB SSD/Windows 11/Green/2.5 Kg), G713RC-HX021W","₹98,618",4.2 out of 5 stars,120,https://www.amazon.in/ASUS-17-3-inch-RTX-3050-Graphics-G713RC-HX021W/dp/B09TPHMMFN/ref=sr_1_55?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820926&sprefix=laptop%2Caps%2C214&sr=8-55
"ASUS VivoBook 15 (2020), 39.6 cm HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/1 TB HDD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR001W","₹21,680",3.0 out of 5 stars,29,https://www.amazon.in/ASUS-VivoBook-Integrated-Transparent-X515MA-BR001W/dp/B09NVSM9KC/ref=sr_1_56?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820926&sprefix=laptop%2Caps%2C214&sr=8-56
"ASUS Vivobook 14, 14.0-inch (35.56 cms) FHD, Intel Core i3-1005G1 10th Gen, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Grey/1.60 kg), X415JA-EK324WS","₹32,820",3.8 out of 5 stars,84,https://www.amazon.in/ASUS-14-0-inch-i3-1005G1-Integrated-X415JA-EK324WS/dp/B0B8ZS9YLC/ref=sr_1_57?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820926&sprefix=laptop%2Caps%2C214&sr=8-57
"HP Pavilion AMD Ryzen 7 5800H 15.6 inches(39.6cm) FHD Gaming Laptop (16GB/512GB SSD/Windows 11 Home/NVIDIA RTX 3050 Graphics/MS Office/ Shadow Black & Ultra Violet/1.98 Kg), 15-ec2146AX","₹75,990",4.4 out of 5 stars,71,https://www.amazon.in/HP-Pavilion-Windows-Graphics-15-ec2146AX/dp/B09MF6F4GH/ref=sr_1_58?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820926&sprefix=laptop%2Caps%2C214&sr=8-58
